id,name,plant_name,plant_id
1559924,SWTGR02_INC03,HAPASAR,1559894
1559925,SWTGR02_INC04,HAPASAR,1559894
1559926,SWTGR01_INC01,HAPASAR,1559894
1559927,SWTGR01_INC02,HAPASAR,1559894
1559928,SWTGR01_INC03,HAPASAR,1559894
1559929,SWTGR01_INC04,HAPASAR,1559894
1559930,SWTGR03_INC01,HAPASAR,1559894
1559931,SWTGR03_INC02,HAPASAR,1559894
1559932,SWTGR03_INC03,HAPASAR,1559894
1559933,SWTGR03_INC04,HAPASAR,1559894
1559984,BK02_COMBINER_OG,HAPASAR,1559894
1559986,BK02_COMBINER_INC2,HAPASAR,1559894
1559990,BK05_COMBINER_OG,HAPASAR,1559894
1559992,BK05_COMBINER_INC2,HAPASAR,1559894
1559996,BK07_COMBINER_OG,HAPASAR,1559894
1559998,BK07_COMBINER_INC2,HAPASAR,1559894
1560002,BK09_COMBINER_OG,HAPASAR,1559894
1560004,BK09_COMBINER_INC2,HAPASAR,1559894
1560007,BK10_COMBINER_OG,HAPASAR,1559894
1560009,BK10_COMBINER_INC2,HAPASAR,1559894
1560013,BK13_COMBINER_OG,HAPASAR,1559894
1560015,BK13_COMBINER_INC2,HAPASAR,1559894
1560019,BK17_COMBINER_OG,HAPASAR,1559894
1560021,BK17_COMBINER_INC2,HAPASAR,1559894
1560025,BK18_COMBINER_OG,HAPASAR,1559894
1560027,BK18_COMBINER_INC2,HAPASAR,1559894
1560031,BK20_COMBINER_OG,HAPASAR,1559894
1560033,BK20_COMBINER_INC2,HAPASAR,1559894
1560036,BK22_COMBINER_OG,HAPASAR,1559894
1560038,BK22_COMBINER_INC2,HAPASAR,1559894
1560042,BK23_COMBINER_OG,HAPASAR,1559894
1560044,BK23_COMBINER_INC2,HAPASAR,1559894
1560048,BK24_COMBINER_OG,HAPASAR,1559894
1560050,BK24_COMBINER_INC2,HAPASAR,1559894
1560053,BLK01,HAPASAR,1559894
1560055,BLK02,HAPASAR,1559894
1560057,BLK03,HAPASAR,1559894
1560059,BLK04,HAPASAR,1559894
1560061,BLK05,HAPASAR,1559894
1560063,BLK06,HAPASAR,1559894
1560065,BLK07,HAPASAR,1559894
1560067,BLK08,HAPASAR,1559894
1560069,BLK09,HAPASAR,1559894
1560071,BLK10,HAPASAR,1559894
1560073,BLK14,HAPASAR,1559894
1560075,BLK13,HAPASAR,1559894
1560079,BLK17,HAPASAR,1559894
1560081,BLK16,HAPASAR,1559894
1560083,BLK18,HAPASAR,1559894
1560085,BLK20,HAPASAR,1559894
1560087,BLK21,HAPASAR,1559894
1560089,BLK11,HAPASAR,1559894
1560091,BLK22,HAPASAR,1559894
1560093,BLK12,HAPASAR,1559894
1560095,BLK23,HAPASAR,1559894
1560097,BLK19,HAPASAR,1559894
1560099,BLK24,HAPASAR,1559894
1560101,HT1,HAPASAR,1559894
1560103,HT_INC1,HAPASAR,1559894
1560105,HT3,HAPASAR,1559894
1560107,HT4,HAPASAR,1559894
1560109,HT_INC1,HAPASAR,1559894
1560111,HT6,HAPASAR,1559894
1560113,HT_INC1,HAPASAR,1559894
1560115,HT8,HAPASAR,1559894
1560117,HT_INC1,HAPASAR,1559894
1560119,HT_INC1,HAPASAR,1559894
1560121,HT11,HAPASAR,1559894
1560123,HT12,HAPASAR,1559894
1560125,HT_INC1,HAPASAR,1559894
1560127,HT14,HAPASAR,1559894
1560129,HT15,HAPASAR,1559894
1560131,HT16,HAPASAR,1559894
1560133,HT_INC1,HAPASAR,1559894
1560135,HT_INC1,HAPASAR,1559894
1560137,HT19,HAPASAR,1559894
1560139,HT_INC1,HAPASAR,1559894
1560141,HT21,HAPASAR,1559894
1560143,HT_INC1,HAPASAR,1559894
1560145,HT_INC1,HAPASAR,1559894
1560147,HT_INC1,HAPASAR,1559894
1560149,IDT1,HAPASAR,1559894
1560151,IDT2,HAPASAR,1559894
1560153,IDT3,HAPASAR,1559894
1560155,IDT4,HAPASAR,1559894
1560157,IDT5,HAPASAR,1559894
1560159,IDT6,HAPASAR,1559894
1560161,IDT7,HAPASAR,1559894
1560163,IDT8,HAPASAR,1559894
1560165,IDT9,HAPASAR,1559894
1560167,IDT10,HAPASAR,1559894
1560169,IDT11,HAPASAR,1559894
1560171,IDT12,HAPASAR,1559894
1560173,IDT13,HAPASAR,1559894
1560175,IDT14,HAPASAR,1559894
1560177,IDT15,HAPASAR,1559894
1560179,IDT16,HAPASAR,1559894
1560181,IDT17,HAPASAR,1559894
1560183,IDT18,HAPASAR,1559894
1560185,IDT19,HAPASAR,1559894
1560187,IDT20,HAPASAR,1559894
1560189,IDT21,HAPASAR,1559894
1560204,IDT22,HAPASAR,1559894
1560247,IDT23,HAPASAR,1559894
1560304,IDT24,HAPASAR,1559894
1560375,INV01,HAPASAR,1559894
1560418,INV02,HAPASAR,1559894
1560532,INV04,HAPASAR,1559894
1560575,INV01,HAPASAR,1559894
1560632,INV02,HAPASAR,1559894
1560633,INV03,HAPASAR,1559894
1560634,INV04,HAPASAR,1559894
1560635,INV01,HAPASAR,1559894
1560636,INV02,HAPASAR,1559894
1560755,INV03,HAPASAR,1559894
1561110,INV04,HAPASAR,1559894
1561347,INV01,HAPASAR,1559894
1561584,INV02,HAPASAR,1559894
1561831,INV03,HAPASAR,1559894
1562176,INV04,HAPASAR,1559894
1562413,INV01,HAPASAR,1559894
1562768,INV02,HAPASAR,1559894
1563005,INV03,HAPASAR,1559894
1563360,INV04,HAPASAR,1559894
1563597,INV01,HAPASAR,1559894
1563952,INV02,HAPASAR,1559894
1564189,INV03,HAPASAR,1559894
1564544,INV04,HAPASAR,1559894
1564781,INV01,HAPASAR,1559894
1565018,INV02,HAPASAR,1559894
1565373,INV03,HAPASAR,1559894
1565644,INV04,HAPASAR,1559894
1565965,INV01,HAPASAR,1559894
1566202,INV02,HAPASAR,1559894
1566439,INV03,HAPASAR,1559894
1566794,INV04,HAPASAR,1559894
1567149,INV01,HAPASAR,1559894
1567427,INV02,HAPASAR,1559894
1567756,INV03,HAPASAR,1559894
1568096,INV04,HAPASAR,1559894
1568451,INV01,HAPASAR,1559894
1568806,INV02,HAPASAR,1559894
1569279,INV03,HAPASAR,1559894
1569752,INV04,HAPASAR,1559894
1570107,INV01,HAPASAR,1559894
1570462,INV02,HAPASAR,1559894
1570699,INV03,HAPASAR,1559894
1571054,INV04,HAPASAR,1559894
1571291,INV01,HAPASAR,1559894
1571646,INV02,HAPASAR,1559894
1571883,INV03,HAPASAR,1559894
1572120,INV04,HAPASAR,1559894
1572475,INV01,HAPASAR,1559894
1572712,INV02,HAPASAR,1559894
1573067,INV03,HAPASAR,1559894
1573422,INV04,HAPASAR,1559894
1573659,INV01,HAPASAR,1559894
1574014,INV02,HAPASAR,1559894
1574251,INV03,HAPASAR,1559894
1574488,INV04,HAPASAR,1559894
1574725,INV01,HAPASAR,1559894
1575080,INV02,HAPASAR,1559894
1575435,INV03,HAPASAR,1559894
1575790,INV04,HAPASAR,1559894
1576027,INV01,HAPASAR,1559894
1576264,INV02,HAPASAR,1559894
1576501,INV03,HAPASAR,1559894
1576856,INV04,HAPASAR,1559894
1577093,INV01,HAPASAR,1559894
1577330,INV02,HAPASAR,1559894
1577685,INV03,HAPASAR,1559894
1578040,INV04,HAPASAR,1559894
1578277,INV01,HAPASAR,1559894
1578632,INV02,HAPASAR,1559894
1578987,INV03,HAPASAR,1559894
1579375,INV04,HAPASAR,1559894
1579579,INV01,HAPASAR,1559894
1579934,INV02,HAPASAR,1559894
1580289,INV03,HAPASAR,1559894
1580526,INV04,HAPASAR,1559894
1580881,INV01,HAPASAR,1559894
1581236,INV02,HAPASAR,1559894
1581473,INV03,HAPASAR,1559894
1581828,INV04,HAPASAR,1559894
1582065,INV01,HAPASAR,1559894
1582420,INV02,HAPASAR,1559894
1582775,INV03,HAPASAR,1559894
1583012,INV04,HAPASAR,1559894
1583367,INV01,HAPASAR,1559894
1583660,INV02,HAPASAR,1559894
1583959,INV03,HAPASAR,1559894
1584314,INV04,HAPASAR,1559894
1584669,INV01,HAPASAR,1559894
1584906,INV02,HAPASAR,1559894
1585143,INV03,HAPASAR,1559894
1585498,INV04,HAPASAR,1559894
1585735,INV01,HAPASAR,1559894
1585972,INV02,HAPASAR,1559894
1586327,INV03,HAPASAR,1559894
1586564,INV04,HAPASAR,1559894
1587037,INV01_INV_UNIT_1,HAPASAR,1559894
1587274,INV02_INV_UNIT_1,HAPASAR,1559894
1587511,INV03_INV_UNIT_1,HAPASAR,1559894
1587866,INV04_INV_UNIT_1,HAPASAR,1559894
1588103,INV01_INV_UNIT_1,HAPASAR,1559894
1588458,INV02_INV_UNIT_1,HAPASAR,1559894
1588695,INV03_INV_UNIT_1,HAPASAR,1559894
1588991,INV04_INV_UNIT_1,HAPASAR,1559894
1589287,INV01_INV_UNIT_1,HAPASAR,1559894
1589642,INV02_INV_UNIT_1,HAPASAR,1559894
1589997,INV03_INV_UNIT_1,HAPASAR,1559894
1590234,INV04_INV_UNIT_1,HAPASAR,1559894
1590707,INV01_INV_UNIT_1,HAPASAR,1559894
1591062,INV02_INV_UNIT_1,HAPASAR,1559894
1591417,INV03_INV_UNIT_1,HAPASAR,1559894
1591654,INV04_INV_UNIT_1,HAPASAR,1559894
1592127,INV01_INV_UNIT_1,HAPASAR,1559894
1592482,INV02_INV_UNIT_1,HAPASAR,1559894
1592601,INV03_INV_UNIT_1,HAPASAR,1559894
1592956,INV04_INV_UNIT_1,HAPASAR,1559894
1593193,INV01_INV_UNIT_1,HAPASAR,1559894
1593430,INV02_INV_UNIT_1,HAPASAR,1559894
1593903,INV03_INV_UNIT_1,HAPASAR,1559894
1594258,INV04_INV_UNIT_1,HAPASAR,1559894
1594613,INV01_INV_UNIT_1,HAPASAR,1559894
1594968,INV02_INV_UNIT_1,HAPASAR,1559894
1595323,INV03_INV_UNIT_1,HAPASAR,1559894
1595678,INV04_INV_UNIT_1,HAPASAR,1559894
1596033,INV01_INV_UNIT_1,HAPASAR,1559894
1596388,INV02_INV_UNIT_1,HAPASAR,1559894
1596625,INV03_INV_UNIT_1,HAPASAR,1559894
1596862,INV04_INV_UNIT_1,HAPASAR,1559894
1597217,INV01_INV_UNIT_1,HAPASAR,1559894
1712234,INV02_INV_UNIT_1,HAPASAR,1559894
1712574,INV03_INV_UNIT_1,HAPASAR,1559894
1712811,INV04_INV_UNIT_1,HAPASAR,1559894
1713048,INV01_INV_UNIT_1,HAPASAR,1559894
1713403,INV02_INV_UNIT_1,HAPASAR,1559894
1713640,INV03_INV_UNIT_1,HAPASAR,1559894
1713995,INV04_INV_UNIT_1,HAPASAR,1559894
1714468,INV01_INV_UNIT_1,HAPASAR,1559894
1714705,INV02_INV_UNIT_1,HAPASAR,1559894
1715060,INV03_INV_UNIT_1,HAPASAR,1559894
1715415,INV04_INV_UNIT_1,HAPASAR,1559894
